25015581	 Little systematic information  available regard  sleep problem influence daytime function  child  ADHD   role  ADHD presentation  comorbidity  unclear   total <NUMBER> child     Children  Sleep Habits Questionnaire  Weiss Functional Impairment Rating Scale   ADHD Rating Scale     moderate positive correlation  sleep problem  impaired functioning   child  ADHD   typically developed child ADHD presentation   differ   respect  sleep problem profile    comorbid internalizing  autistic disorder lead   sleep problem score  Sleep problem  impaired daily function   common  child  ADHD   overall association  sleep problem  impaired daily functioning  similar  clinical  nonclinical child internalize  autistic comorbid disorder add    sleep problem
25162646	 intertester  intratester reliability   common theme  Functional Movement Screen FMS research  criterion validity  manual grading  yet   comprehensively examine     FMS score assign   certified FMS tester   measure    inertial-based IMU motion capture system  female division  collegiate athlete  <NUMBER> FMS exercise   manually grade   certified tester Explicit kinematic threshold  formulate  correspond     grading criterion   FMS exercise     grade athlete objectively   IMU data  level  agreement   <NUMBER> grade   poor   <NUMBER> FMS exercise  implies  manual grading   FMS   confound  vague grade criterion evidently  explicit grading guideline  need    uniformity  accuracy  manual FMS grading   facilitate     measurement system   grading process Contrary       adopt   previous   potential  subjective and/or inaccurate FMS grading intimate     inappropriate  assume  manual FMS grade provide  valid measurement tool consequently  development  criterion validation  uniform grading procedure must precede research attempt  link FMS performance  injury rate  manual grade  seemingly susceptible  error  FMS    cautiously  direct strength and/or condition program
25269833	unilateral inner ear damage  follow   rapid behavioural recovery   central vestibular compensation     utilize serial  <NUMBER>   Fluoro-deoxyglucose  <NUMBER>   FDG µpet image   rat  visualize change  brain glucose metabolism  behavioural recovery  surgical  chemical unilateral labyrinthectomy    extent  time-course   involvement  different brain region  vestibular compensation   previously  hypothesis  underlying mechanism systematic pattern  relative change  glucose metabolism rcgm    vestibular compensation   asymmetry  rcgm appear   vestibular nucleus vestibulocerebellum thalamus multisensory vestibular cortex hippocampus  amygdala   acute phase  vestibular imbalance <NUMBER>    follow  early vestibular compensation  <NUMBER> day  rcgm re-balanced   vestibular nucleus thalamus  temporoparietal cortex  bilateral rcgm  appear   hippocampus  amygdala subsequently  <NUMBER> day rcgm    ipsilesional spinal trigeminal nucleus  later <NUMBER> day rcgm    vestibulocerebellum bilaterally   hypothalamus  persist   hippocampus  systematic dynamic rcgm pattern  vestibular compensation  confirm   second rat model  chemical unilateral labyrinthectomy  serial  <NUMBER>   FDG-µPET     deafferentation-induced plasticity  unilateral labyrinthectomy  early mechanism  re-balancing predominantly   brainstem vestibular nucleus    thalamo-cortical  limbic area    contribution  spinocerebellar sensory input  vestibulocerebellar adaptation   late stage  behavioural recovery
25358844	 Calcium supplementation  pregnancy    affect fetal growth  aim    association  calcium  phosphorus  cord blood  birth size parameter  term infant     <NUMBER> pregnant woman   neonate Birth weight birth length  head circumference   neonate  measure Cord blood sample    delivery Maternal  cord blood calcium phosphorus  parathyroid hormone  measure  association  variable    Pearson correlation coefficient  Cord blood calcium level   positively correlate  birth weight birth length  head circumference  <NUMBER>  <NUMBER>  <NUMBER>  <NUMBER>  <NUMBER>  <NUMBER>  Cord phosphorus   positively correlate  birth length  <NUMBER>  <NUMBER>  subject   phosphorus level cord calcium   strongly correlate  birth weight birth length  head circumference    overall   <NUMBER>  <NUMBER>  <NUMBER>  <NUMBER>  <NUMBER>  <NUMBER>   Cord blood calcium  phosphorus level    birth size parameter    interaction  calcium  phosphorus  affect fetal growth
25422038	infant   <NUMBER> month  age receive food   breast milk     risk  exposure  mycotoxin  survey food intake  estimate  risk  exposure  aflatoxin  fumonisin mycotoxin  infant   <NUMBER> month  age  Northern Tanzania  total  <NUMBER> infant  progressively recruit   follow-up visit  make  <NUMBER> <NUMBER>  <NUMBER> month  age  <NUMBER> dietary recall     estimate flour intake  infant    introduce  maize food aflatoxin  fumonisins   flour  analyse  high-performance liquid chromatography  exposure  aflatoxin  fumonisins  estimate   deterministic    age  <NUMBER> month <NUMBER> infant  start take food <NUMBER>   maize flour  level range  <NUMBER>  <NUMBER>  per infant per day average <NUMBER>  per infant per day fifty-eight per cent  <NUMBER> maize flour sample contain detectable aflatoxin range <NUMBER> μg kg <NUMBER> median <NUMBER> μg kg <NUMBER>  <NUMBER>  contain detectable fumonisins range <NUMBER> μg kg <NUMBER> median <NUMBER> μg kg <NUMBER>  infant  consume contaminated flour aflatoxin exposure range  <NUMBER>  <NUMBER> ng kg <NUMBER> body weight BW per day    health concern level  <NUMBER> ng kg <NUMBER> BW per day  recommend   european Food Safety Agency  fumonisin exposure range  <NUMBER>  <NUMBER> μg kg <NUMBER> BW per day Insignificant association    exposure  fumonisins  aflatoxin  stunt  underweight reduce aflatoxin  fumonisin contamination  maize  dietary diversification  prevent infant   public    exposure   toxin
25502549	   interest  develop dementia supportive community world wide Dementia RED Respect Empathy Dignity   unique example  North Wales   base   twin concept  people live  dementia  citizen   community  develop bottom  rather  top    dementia supportive community  people  dementia prefer  live  home  make community connectivity key  maintain healthy relationship  wellbeing   live  dementia  community   pivotal role  provide value meaning   acceptance Building dementia supportive community help  raise awareness  dementia   community  engagement    champion   locality  voice issue Dementia RED   initiative  service  help  develop   philosophy  create  dementia supportive community
25559466	 prospective case review     aim    asses  diagnostic value  cone-beam compute tomography CBCT  high-resolution compute tomography HRCT   preoperative evaluation  otosclerosis  total  <NUMBER> patient  histologically confirm stapedial otosclerosis  underwent unilateral stapedectomy   preoperative temporal bone CBCT  HRCT scan     case  CBCT  HRCT image     slice thickness  <NUMBER> mm  multiplanar image reconstruction Histopathologic examination   removed stapes footplate     case   CBCT  HRCT  categorize accord   modify Marshall  grading system fenestral  retrofenestral lesion histopathologic   correlate  multiplanar reconstruct CBCT  HRCT scan  negative    CBCT  <NUMBER>  HRCT  <NUMBER> examination   patient  undergo CBCT image   various dental disorder  HRCT    idiopathic sudden sensorineural hearing loss Histologically active focus  otosclerosis  <NUMBER> <NUMBER>      CBCT  HRCT   case   sensitivity  <NUMBER>   CBCT    histologically inactive otosclerosis  <NUMBER> <NUMBER>  sensitivity <NUMBER>   contrast HRCT  inactive otosclerosis   sensitivity  <NUMBER>  accord  CBCT   retrofenestral lesion     overall sensitivity  hypodense lesion  <NUMBER>    CBCT   robust imaging    detection  histologically active fenestral hypodense focus  otosclerosis   sensitivity  radiologic specificity   light    HRCT still   basic imaging    preoperative diagnosis  otosclerosis since   much great sensitivity  specificity   detection  retrofenestral hypodense lesion  histologically inactive otosclerotic focus   oval window niche
25604968	Mixed-gender friendship romantic relationship  sexual behavior   adolescence   normal part  development      potential risk   type  social relationship different author    date violence  adolescent   issue  concern  date    little research   topic cross-nationally   examine    prevalence  characteristic  physical date violence  young people age  <NUMBER>  <NUMBER> year  England  Spain  <NUMBER>  Spain  <NUMBER>  England         violence relate  romantic relationship quality    approximately <NUMBER>   young people report victimization  <NUMBER>  report perpetrating physical dating violence   country      physical dating violence report involvement  reciprocal violence display  aggression  victimization  young people   date violence report  level  scale  negative aspect  relationship quality           difference  positive aspect  relationship quality furthermore different pattern appear relate   severity  violence  country    discuss  term   implication  theory  practice
25643822	  explore  relationship  treatment plan complexity anticipate  deliver  plan   special care dental skill  setting   appropriate   old adult  factor  complicate dental treatment  health  disability problem Assessment  dental treatment need amongst care home resident provide information  clinical care require  clinical experience need   population MATERIAL     dental data collect   <NUMBER> Welsh survey Data analyse  treatment plan information complexity assessment  dental expertise  setting require  deliver  treatment plan   majority  participate resident need simple dentistry   examination oral hygiene instruction scaling  teeth filling new denture  fluoride application additional time   common complexity factor   proportion  participant require dental treatment   domiciliary setting  similar proportion require care   primary care  typically  care    dental practitioner   special care clinic typically  care   dentist  special care experience treatment plan  specialist        poor  health  level  interventional treatment  great complexity   treatment need  care home  basic restorative periodontal  preventive care half     manage   dentist    domiciliary basis   rest  primary care dental clinic  common complexity  additional time  complex treatment    care  clinic skill  special care dentistry  multidisciplinary care
25678336	agreement   covariation  morphological form  reflect relation  word  series  experiment  carry   italian  production  comprehension   element interfere  agreement  likelihood  interference    modality  relate   markedness   intervener    grammatical nature    frequently   number express   prepositional modifier intervene   subject   verb   number express   object pronoun Furthermore subject agreement process   intervener object pronoun  prone  error   error report    matched condition   slow reaction timing  comprehension     idea  agreement   grammatical process sensitive     markedness   intervener element     structural position  unifying explanation  agreement   production  comprehension   adopt  line  retrieval   agreement source   content-addressable memory sensitive  structural position   implementation  different language
